Daily Statistics
      date  total_habits  avg_habits  std_habits  min_habits  max_habits  range_habits  total_habits_score  avg_habits_score  std_habits_score  min_habits_score  max_habits_score  range_habits_score  total_score
2022-11-03          22.0    0.880000    1.013246         0.0         4.0           4.0            0.176630          0.539766          0.208717               NaN          0.155583            0.155583     1.236278
2022-11-04          25.0    1.000000    0.912871         0.0         4.0           4.0            0.533138          0.947057          0.040708               NaN          0.155583            0.155583     1.832068
2022-11-05          25.0    1.000000    1.224745         0.0         6.0           6.0            0.533138          0.947057          0.734279               NaN          1.045320            1.045320     4.305116
2022-11-06          16.0    0.640000    0.757188         0.0         2.0           2.0            0.536385          0.274818          0.427570               NaN          0.734155            0.734155     2.707084
2022-11-07          23.0    0.920000    0.909212         0.0         4.0           4.0            0.295466          0.675530          0.049799               NaN          0.155583            0.155583     1.331961
2022-11-08          13.0    0.520000    0.585947         0.0         2.0           2.0            0.892893          0.682109          0.853094               NaN          0.734155            0.734155     3.896407
2022-11-09          22.0    0.880000    0.927362         0.0         3.0           3.0            0.176630          0.539766          0.004699               NaN          0.289286            0.289286     1.299667
2022-11-10          23.0    0.920000    0.996661         0.0         4.0           4.0            0.295466          0.675530          0.167506               NaN          0.155583            0.155583     1.449667
2022-11-11          13.0    0.520000    0.585947         0.0         2.0           2.0            0.892893          0.682109          0.853094               NaN          0.734155            0.734155     3.896407
2022-11-12          16.0    0.640000    1.319091         0.0         6.0           6.0            0.536385          0.274818          0.968722               NaN          1.045320            1.045320     3.870566
2022-11-13          14.0    0.560000    0.650641         0.0         2.0           2.0            0.774057          0.546345          0.692333               NaN          0.734155            0.734155     3.481046
2022-11-14          20.0    0.800000    0.957427         0.0         4.0           4.0            0.061041          0.268238          0.070012               NaN          0.155583            0.155583     0.710456
2022-11-15          24.0    0.923077    0.934797         0.0         3.0           3.0            0.414302          0.685973          0.013778               NaN          0.289286            0.289286     1.692626
2022-11-16          24.0    0.923077    0.844894         0.0         3.0           3.0            0.414302          0.685973          0.209625               NaN          0.289286            0.289286     1.888473
2022-11-17          29.0    1.115385    0.908930         0.0         3.0           3.0            1.008482          1.338684          0.050500               NaN          0.289286            0.289286     2.976239
2022-11-18          34.0    1.307692    1.490483         0.0         7.0           7.0            1.602661          1.991395          1.394621               NaN          1.490189            1.490189     7.969056
2022-11-19          34.0    1.214286    1.066567         0.0         5.0           5.0            1.602661          1.674364          0.341218               NaN          0.600452            0.600452     4.819147
2022-11-20          43.0    1.535714    1.643892         0.0         5.0           5.0            2.672185          2.765324          1.775833               NaN          0.600452            0.600452     8.414245
2022-11-21          37.0    1.321429    2.019416         0.0         9.0           9.0            1.959169          2.038017          2.708987               NaN          2.379927            2.379927    11.466028
2022-11-22          27.0    0.964286    0.922241         0.0         4.0           4.0            0.770810          0.825840          0.017423               NaN          0.155583            0.155583     1.925237
2022-11-23          15.0    0.535714    0.692935         0.0         3.0           3.0            0.655221          0.628774          0.587235               NaN          0.289286            0.289286     2.449802
2022-11-24          21.0    0.750000    1.265643         0.0         6.0           6.0            0.057795          0.098533          0.835908               NaN          1.045320            1.045320     3.082877
